label,seq_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops
[experiment] llama3_8b_num_mma_kv_1,2176,8,32,8,128,16,128,16,2,1,4,1,5.2677,58.908
[experiment] llama3_8b_num_mma_kv_1,2304,8,32,8,128,16,128,16,2,1,4,1,5.894,59.025
[experiment] llama3_8b_num_mma_kv_1,2432,8,32,8,128,16,128,16,2,1,4,1,6.542,59.251
[experiment] llama3_8b_num_mma_kv_1,2560,8,32,8,128,16,128,16,2,1,4,1,7.2025,59.632
[experiment] llama3_8b_num_mma_kv_1,2688,8,32,8,128,16,128,16,2,1,4,1,7.9098,59.865
[experiment] llama3_8b_num_mma_kv_1,2816,8,32,8,128,16,128,16,2,1,4,1,8.5897,60.502
[experiment] llama3_8b_num_mma_kv_1,2944,8,32,8,128,16,128,16,2,1,4,1,9.364,60.659
[experiment] llama3_8b_num_mma_kv_1,3072,8,32,8,128,16,128,16,2,1,4,1,10.192,60.683
[experiment] llama3_8b_num_mma_kv_1,3200,8,32,8,128,16,128,16,2,1,4,1,11.0269,60.859
[experiment] llama3_8b_num_mma_kv_1,3328,8,32,8,128,16,128,16,2,1,4,1,11.8793,61.102
[experiment] llama3_8b_num_mma_kv_1,3456,8,32,8,128,16,128,16,2,1,4,1,12.8086,61.112
[experiment] llama3_8b_num_mma_kv_1,3584,8,32,8,128,16,128,16,2,1,4,1,13.7277,61.322
[experiment] llama3_8b_num_mma_kv_1,3712,8,32,8,128,16,128,16,2,1,4,1,14.7243,61.328
[experiment] llama3_8b_num_mma_kv_1,3840,8,32,8,128,16,128,16,2,1,4,1,15.7688,61.283
[experiment] llama3_8b_num_mma_kv_1,3968,8,32,8,128,16,128,16,2,1,4,1,16.8191,61.351
[experiment] llama3_8b_num_mma_kv_1,4096,8,32,8,128,16,128,16,2,1,4,1,17.9003,61.424
[experiment] llama3_8b_num_mma_kv_1,4224,8,32,8,128,16,128,16,2,1,4,1,18.9629,61.663
[experiment] llama3_8b_num_mma_kv_1,4352,8,32,8,128,16,128,16,2,1,4,1,20.1106,61.721
[experiment] llama3_8b_num_mma_kv_1,4480,8,32,8,128,16,128,16,2,1,4,1,21.2962,61.764
[experiment] llama3_8b_num_mma_kv_1,4608,8,32,8,128,16,128,16,2,1,4,1,22.4818,61.897
[experiment] llama3_8b_num_mma_kv_1,4736,8,32,8,128,16,128,16,2,1,4,1,23.6918,62.045
