label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,dtype,use_tensor_cores,backend,fixed_split_size,requested_fixed_split_size,target_split_k,split_k_count,disable_split_kv,split_kv,kv_chunk_size_tokens,kv_chunk_size_pages,num_chunks_kv,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops,gb_per_s_est
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,2176,16,32,8,128,16,fp16,1,fa2,136,,1,1,0,0,2176,136,1,16,64,1,1,1,4,0.1684,3.387,846.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,2304,16,32,8,128,16,fp16,1,fa2,144,,1,1,0,0,2304,144,1,16,64,1,1,1,4,0.17828,3.388,846.9
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,2432,16,32,8,128,16,fp16,1,fa2,152,,1,1,0,0,2432,152,1,16,64,1,1,1,4,0.18811,3.389,847.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,2560,16,32,8,128,16,fp16,1,fa2,160,,1,1,0,0,2560,160,1,16,64,1,1,1,4,0.19697,3.407,851.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,2688,16,32,8,128,16,fp16,1,fa2,168,,1,1,0,0,2688,168,1,16,64,1,1,1,4,0.20645,3.413,853.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,2816,16,32,8,128,16,fp16,1,fa2,176,,1,1,0,0,2816,176,1,16,64,1,1,1,4,0.21542,3.427,856.7
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,2944,16,32,8,128,16,fp16,1,fa2,184,,1,1,0,0,2944,184,1,16,64,1,1,1,4,0.22506,3.429,857.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,3072,16,32,8,128,16,fp16,1,fa2,192,,1,1,0,0,3072,192,1,16,64,1,1,1,4,0.23442,3.435,858.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,3200,16,32,8,128,16,fp16,1,fa2,200,,1,1,0,0,3200,200,1,16,64,1,1,1,4,0.24421,3.435,858.7
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,3328,16,32,8,128,16,fp16,1,fa2,208,,1,1,0,0,3328,208,1,16,64,1,1,1,4,0.25356,3.441,860.2
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,3456,16,32,8,128,16,fp16,1,fa2,216,,1,1,0,0,3456,216,1,16,64,1,1,1,4,0.26311,3.443,860.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,3584,16,32,8,128,16,fp16,1,fa2,224,,1,1,0,0,3584,224,1,16,64,1,1,1,4,0.27216,3.452,863.0
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,3712,16,32,8,128,16,fp16,1,fa2,232,,1,1,0,0,3712,232,1,16,64,1,1,1,4,0.28156,3.456,864.0
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,3840,16,32,8,128,16,fp16,1,fa2,240,,1,1,0,0,3840,240,1,16,64,1,1,1,4,0.29048,3.465,866.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,3968,16,32,8,128,16,fp16,1,fa2,248,,1,1,0,0,3968,248,1,16,64,1,1,1,4,0.30021,3.465,866.2
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,4096,16,32,8,128,16,fp16,1,fa2,256,,1,1,0,0,4096,256,1,16,64,1,1,1,4,0.31003,3.463,865.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,4224,16,32,8,128,16,fp16,1,fa2,264,,1,1,0,0,4224,264,1,16,64,1,1,1,4,0.31924,3.469,867.1
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,4352,16,32,8,128,16,fp16,1,fa2,272,,1,1,0,0,4352,272,1,16,64,1,1,1,4,0.32844,3.474,868.4
