label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,NUM_STAGES_SMEM,TILE_SIZE_PER_BDX,VEC_SIZE,BDX,BDY,BDZ,KV_TILE_TOKENS,ms,tflops,gb_per_s_est
[experiment] llama3_8b_tile_size_per_bdx_1,5632,8,32,8,128,16,2,1,8,16,4,2,8,0.22098,3.34,835.1
[experiment] llama3_8b_tile_size_per_bdx_1,5760,8,32,8,128,16,2,1,8,16,4,2,8,0.22464,3.361,840.2
[experiment] llama3_8b_tile_size_per_bdx_1,5888,8,32,8,128,16,2,1,8,16,4,2,8,0.22965,3.361,840.1
[experiment] llama3_8b_tile_size_per_bdx_1,6016,8,32,8,128,16,2,1,8,16,4,2,8,0.23437,3.364,841.1
[experiment] llama3_8b_tile_size_per_bdx_1,6144,8,32,8,128,16,2,1,8,16,4,2,8,0.24027,3.352,837.9
[experiment] llama3_8b_tile_size_per_bdx_1,6272,8,32,8,128,16,2,1,8,16,4,2,8,0.24578,3.345,836.2
[experiment] llama3_8b_tile_size_per_bdx_1,6400,8,32,8,128,16,2,1,8,16,4,2,8,0.25074,3.346,836.4
[experiment] llama3_8b_tile_size_per_bdx_1,6528,8,32,8,128,16,2,1,8,16,4,2,8,0.25453,3.362,840.4
[experiment] llama3_8b_tile_size_per_bdx_1,6656,8,32,8,128,16,2,1,8,16,4,2,8,0.2583,3.378,844.4
[experiment] llama3_8b_tile_size_per_bdx_1,6784,8,32,8,128,16,2,1,8,16,4,2,8,0.26515,3.353,838.4
[experiment] llama3_8b_tile_size_per_bdx_1,6912,8,32,8,128,16,2,1,8,16,4,2,8,0.26802,3.38,845.0
[experiment] llama3_8b_tile_size_per_bdx_1,7040,8,32,8,128,16,2,1,8,16,4,2,8,0.27271,3.384,845.9
[experiment] llama3_8b_tile_size_per_bdx_1,7168,8,32,8,128,16,2,1,8,16,4,2,8,0.27648,3.398,849.5
[experiment] llama3_8b_tile_size_per_bdx_1,7296,8,32,8,128,16,2,1,8,16,4,2,8,0.28284,3.381,845.3
[experiment] llama3_8b_tile_size_per_bdx_1,7424,8,32,8,128,16,2,1,8,16,4,2,8,0.28724,3.388,846.9
[experiment] llama3_8b_tile_size_per_bdx_1,7552,8,32,8,128,16,2,1,8,16,4,2,8,0.29211,3.389,847.2
[experiment] llama3_8b_tile_size_per_bdx_1,7680,8,32,8,128,16,2,1,8,16,4,2,8,0.29689,3.391,847.6
[experiment] llama3_8b_tile_size_per_bdx_1,7808,8,32,8,128,16,2,1,8,16,4,2,8,0.30382,3.369,842.1
[experiment] llama3_8b_tile_size_per_bdx_1,7936,8,32,8,128,16,2,1,8,16,4,2,8,0.30792,3.378,844.5
[experiment] llama3_8b_tile_size_per_bdx_1,8064,8,32,8,128,16,2,1,8,16,4,2,8,0.31404,3.366,841.4
[experiment] llama3_8b_tile_size_per_bdx_1,8192,8,32,8,128,16,2,1,8,16,4,2,8,0.31568,3.401,850.3
[experiment] llama3_70b_tile_size_per_bdx_1,128,8,64,8,128,16,2,1,8,16,8,1,8,0.0383,0.876,109.5
[experiment] llama3_70b_tile_size_per_bdx_1,256,8,64,8,128,16,2,1,8,16,8,1,8,0.04563,1.471,183.8
[experiment] llama3_70b_tile_size_per_bdx_1,384,8,64,8,128,16,2,1,8,16,8,1,8,0.04619,2.179,272.4
[experiment] llama3_70b_tile_size_per_bdx_1,512,8,64,8,128,16,2,1,8,16,8,1,8,0.04565,2.94,367.5
[experiment] llama3_70b_tile_size_per_bdx_1,640,8,64,8,128,16,2,1,8,16,8,1,8,0.04627,3.626,453.2
[experiment] llama3_70b_tile_size_per_bdx_1,768,8,64,8,128,16,2,1,8,16,8,1,8,0.0449,4.484,560.5
[experiment] llama3_70b_tile_size_per_bdx_1,896,8,64,8,128,16,2,1,8,16,8,1,8,0.04806,4.887,610.9
[experiment] llama3_70b_tile_size_per_bdx_1,1024,8,64,8,128,16,2,1,8,16,8,1,8,0.05348,5.02,627.5
[experiment] llama3_70b_tile_size_per_bdx_1,1152,8,64,8,128,16,2,1,8,16,8,1,8,0.05916,5.104,638.0
[experiment] llama3_70b_tile_size_per_bdx_1,1280,8,64,8,128,16,2,1,8,16,8,1,8,0.06361,5.275,659.3
[experiment] llama3_70b_tile_size_per_bdx_1,1408,8,64,8,128,16,2,1,8,16,8,1,8,0.06924,5.331,666.4
[experiment] llama3_70b_tile_size_per_bdx_1,1536,8,64,8,128,16,2,1,8,16,8,1,8,0.07524,5.352,669.0
[experiment] llama3_70b_tile_size_per_bdx_1,1664,8,64,8,128,16,2,1,8,16,8,1,8,0.08108,5.38,672.5
[experiment] llama3_70b_tile_size_per_bdx_1,1792,8,64,8,128,16,2,1,8,16,8,1,8,0.08625,5.447,680.8
[experiment] llama3_70b_tile_size_per_bdx_1,1920,8,64,8,128,16,2,1,8,16,8,1,8,0.08919,5.643,705.4
[experiment] llama3_70b_tile_size_per_bdx_1,2048,8,64,8,128,16,2,1,8,16,8,1,8,0.09529,5.634,704.3
[experiment] llama3_70b_tile_size_per_bdx_1,2176,8,64,8,128,16,2,1,8,16,8,1,8,0.10069,5.665,708.1
[experiment] llama3_70b_tile_size_per_bdx_1,2304,8,64,8,128,16,2,1,8,16,8,1,8,0.10726,5.631,703.9
[experiment] llama3_70b_tile_size_per_bdx_1,2432,8,64,8,128,16,2,1,8,16,8,1,8,0.10907,5.845,730.7
[experiment] llama3_70b_tile_size_per_bdx_1,2560,8,64,8,128,16,2,1,8,16,8,1,8,0.11459,5.857,732.1
[experiment] llama3_70b_tile_size_per_bdx_1,2688,8,64,8,128,16,2,1,8,16,8,1,8,0.12182,5.784,723.1
[experiment] llama3_70b_tile_size_per_bdx_1,2816,8,64,8,128,16,2,1,8,16,8,1,8,0.12391,5.957,744.7
[experiment] llama3_70b_tile_size_per_bdx_1,2944,8,64,8,128,16,2,1,8,16,8,1,8,0.12854,6.004,750.5
[experiment] llama3_70b_tile_size_per_bdx_1,3072,8,64,8,128,16,2,1,8,16,8,1,8,0.13642,5.903,737.9
[experiment] llama3_70b_tile_size_per_bdx_1,3200,8,64,8,128,16,2,1,8,16,8,1,8,0.14072,5.961,745.1
[experiment] llama3_70b_tile_size_per_bdx_1,3328,8,64,8,128,16,2,1,8,16,8,1,8,0.14383,6.066,758.2
[experiment] llama3_70b_tile_size_per_bdx_1,3456,8,64,8,128,16,2,1,8,16,8,1,8,0.15023,6.03,753.8
[experiment] llama3_70b_tile_size_per_bdx_1,3584,8,64,8,128,16,2,1,8,16,8,1,8,0.15686,5.989,748.7
[experiment] llama3_70b_tile_size_per_bdx_1,3712,8,64,8,128,16,2,1,8,16,8,1,8,0.16419,5.927,740.8
[experiment] llama3_70b_tile_size_per_bdx_1,3840,8,64,8,128,16,2,1,8,16,8,1,8,0.16165,6.227,778.4
[experiment] llama3_70b_tile_size_per_bdx_1,3968,8,64,8,128,16,2,1,8,16,8,1,8,0.16928,6.145,768.1
[experiment] llama3_70b_tile_size_per_bdx_1,4096,8,64,8,128,16,2,1,8,16,8,1,8,0.17747,6.05,756.3
[experiment] llama3_70b_tile_size_per_bdx_1,4224,8,64,8,128,16,2,1,8,16,8,1,8,0.18015,6.147,768.3
[experiment] llama3_70b_tile_size_per_bdx_1,4352,8,64,8,128,16,2,1,8,16,8,1,8,0.18579,6.14,767.6
