batch_size,kv_len,default_ms,patched_ms,oracle_ms,default_chunks,patched_chunks,oracle_chunks,oracle_k,oracle_source,patched_speedup,oracle_speedup
2,6912,0.07549,0.07548,0.0736,10.0,6.0,4.0,4,k_4,1.000132485426603,1.025679347826087
2,7040,0.07644,0.07621,0.0747,10.0,6.0,5.0,5,k_5,1.003017976643485,1.023293172690763
2,7168,0.07846,0.07832,0.0761,10.0,7.0,5.0,5,k_5,1.0017875383043922,1.0310118265440211
2,7296,0.07872,0.07861,0.0768,10.0,7.0,5.0,5,k_5,1.0013993130644956,1.0250000000000001
2,7424,0.07971,0.08042,0.078,10.0,7.0,4.0,4,k_4,0.9911713504103457,1.021923076923077
2,7552,0.08126,0.08072,0.0795,10.0,7.0,5.0,5,k_5,1.0066897918731417,1.022138364779874
2,7680,0.08247,0.08337,0.0805,10.0,7.0,3.0,3,k_3,0.9892047499100396,1.024472049689441
2,7808,0.08404,0.08334,0.0819,10.0,7.0,4.0,4,k_4,1.0083993280537558,1.0261294261294263
2,7936,0.08518,0.08477,0.0829,10.0,7.0,5.0,5,k_5,1.004836616727616,1.0275030156815441
2,8064,0.08585,0.0855,0.0842,10.0,7.0,3.0,3,k_3,1.004093567251462,1.0195961995249405
2,8192,0.08725,0.08765,0.0854,10.0,8.0,4.0,4,k_4,0.9954363947518539,1.021662763466042
4,128,0.04297,0.04125,0.0421,1.0,1.0,1.0,1,k_1,1.0416969696969698,1.020665083135392
4,256,0.05178,0.04096,0.04202,2.0,1.0,1.0,1,k_1,1.2641601562499998,1.2322703474535934
4,384,0.04956,0.04124,0.0413,3.0,1.0,1.0,1,k_1,1.2017458777885548,1.2
4,512,0.04941,0.04161,0.0429,4.0,1.0,1.0,1,k_1,1.1874549387166546,1.1517482517482518
4,640,0.04958,0.04115,0.0413,5.0,1.0,1.0,1,k_1,1.2048602673147024,1.2004842615012106
4,768,0.04885,0.04139,0.042,5.0,1.0,1.0,1,k_1,1.18023677216719,1.163095238095238
4,896,0.04934,0.04111,0.0414,5.0,1.0,1.0,1,k_1,1.2001945998540502,1.1917874396135266
4,1024,0.05001,0.0415,0.0419,5.0,1.0,1.0,1,k_1,1.2050602409638553,1.1935560859188543
4,1152,0.0497,0.04102,0.0427,5.0,1.0,1.0,1,k_1,1.21160409556314,1.1639344262295082
4,1280,0.05012,0.04123,0.0417,5.0,1.0,1.0,1,k_1,1.2156196943972835,1.2019184652278176
4,1408,0.04983,0.04145,0.0414,5.0,1.0,1.0,1,k_1,1.2021712907117008,1.203623188405797
4,1536,0.04975,0.04158,0.0423,5.0,1.0,1.0,1,k_1,1.1964886964886965,1.1761229314420805
